Vectorizer,Model,Class,Precision,Recall,F1-Score,Support
Hashing,SVM,macro avg,0.9091880341880343,0.9307017543859649,0.911765605731123,62.0
Hashing,SVM,weighted avg,0.9383098979873172,0.9193548387096774,0.9233919175520955,62.0
Hashing,Random Forest,0,0.8181818181818182,1.0,0.9,9.0
Hashing,Random Forest,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,Random Forest,2,1.0,1.0,1.0,15.0
Hashing,Random Forest,3,1.0,1.0,1.0,19.0
Hashing,Random Forest,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
Hashing,Random Forest,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
Hashing,Gradient Boosting,0,0.6923076923076923,1.0,0.8181818181818182,9.0
Hashing,Gradient Boosting,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,Gradient Boosting,2,1.0,0.8666666666666667,0.9285714285714286,15.0
Hashing,Gradient Boosting,3,1.0,1.0,1.0,19.0
Hashing,Gradient Boosting,macro avg,0.9230769230769231,0.9403508771929825,0.9227994227994227,62.0
Hashing,Gradient Boosting,weighted avg,0.955334987593052,0.9354838709677419,0.9393008425266489,62.0
Hashing,XGBoost,0,0.8181818181818182,1.0,0.9,9.0
Hashing,XGBoost,1,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,XGBoost,2,1.0,1.0,1.0,15.0
Hashing,XGBoost,3,1.0,1.0,1.0,19.0
Hashing,XGBoost,macro avg,0.9545454545454546,0.9736842105263158,0.9611111111111111,62.0
Hashing,XGBoost,weighted avg,0.9736070381231671,0.967741935483871,0.9684587813620071,62.0
Hashing,LightGBM,0,0.7,0.7777777777777778,0.7368421052631579,9.0
Hashing,LightGBM,1,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Hashing,LightGBM,2,0.875,0.9333333333333333,0.9032258064516129,15.0
Hashing,LightGBM,3,1.0,0.9473684210526315,0.972972972972973,19.0
Hashing,LightGBM,macro avg,0.8798611111111111,0.8883040935672514,0.8829899509016657,62.0
Hashing,LightGBM,weighted avg,0.90918458781362,0.9032258064516129,0.9052566450014286,62.0
Hashing,CatBoost,0,0.5294117647058824,1.0,0.6923076923076923,9.0
Hashing,CatBoost,1,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
Hashing,CatBoost,2,0.9230769230769231,0.8,0.8571428571428571,15.0
Hashing,CatBoost,3,1.0,0.8947368421052632,0.9444444444444444,19.0
Hashing,CatBoost,macro avg,0.8464555052790348,0.8578947368421054,0.8293561014149249,62.0
Hashing,CatBoost,weighted avg,0.8926482751909697,0.8387096774193549,0.8496679896110636,62.0
